Edad;Unidad;Sexo;Periodo;Total
De 20 a 24 años;Porcentaje;Hombres;2022T4;12,3
De 20 a 24 años;Porcentaje;Hombres;2022T3;13,8
De 20 a 24 años;Porcentaje;Hombres;2022T2;11,8
De 20 a 24 años;Porcentaje;Hombres;2022T1;12,1
De 20 a 24 años;Porcentaje;Hombres;2021T4;11,8
De 20 a 24 años;Porcentaje;Hombres;2021T3;12,2
De 20 a 24 años;Porcentaje;Hombres;2021T2;13,5
De 20 a 24 años;Porcentaje;Hombres;2021T1;13,0
De 20 a 24 años;Porcentaje;Hombres;2020T4;13,6
De 20 a 24 años;Porcentaje;Hombres;2020T3;13,8
De 20 a 24 años;Porcentaje;Hombres;2020T2;12,9
De 20 a 24 años;Porcentaje;Hombres;2020T1;12,6
De 20 a 24 años;Porcentaje;Hombres;2019T4;12,0
De 20 a 24 años;Porcentaje;Hombres;2019T3;13,4
De 20 a 24 años;Porcentaje;Hombres;2019T2;12,6
De 20 a 24 años;Porcentaje;Hombres;2019T1;12,5
De 20 a 24 años;Porcentaje;Hombres;2018T4;13,0
De 20 a 24 años;Porcentaje;Hombres;2018T3;13,7
De 20 a 24 años;Porcentaje;Hombres;2018T2;12,7
De 20 a 24 años;Porcentaje;Hombres;2018T1;11,8
De 20 a 24 años;Porcentaje;Hombres;2017T4;12,0
De 20 a 24 años;Porcentaje;Hombres;2017T3;13,1
De 20 a 24 años;Porcentaje;Hombres;2017T2;12,7
De 20 a 24 años;Porcentaje;Hombres;2017T1;11,9
De 20 a 24 años;Porcentaje;Hombres;2016T4;12,3
De 20 a 24 años;Porcentaje;Hombres;2016T3;12,4
De 20 a 24 años;Porcentaje;Hombres;2016T2;12,7
De 20 a 24 años;Porcentaje;Hombres;2016T1;11,4
De 20 a 24 años;Porcentaje;Hombres;2015T4;11,7
De 20 a 24 años;Porcentaje;Hombres;2015T3;12,4
De 20 a 24 años;Porcentaje;Hombres;2015T2;12,2
De 20 a 24 años;Porcentaje;Hombres;2015T1;12,0
De 20 a 24 años;Porcentaje;Hombres;2014T4;12,1
De 20 a 24 años;Porcentaje;Hombres;2014T3;13,3
De 20 a 24 años;Porcentaje;Hombres;2014T2;12,3
De 20 a 24 años;Porcentaje;Hombres;2014T1;12,2
De 20 a 24 años;Porcentaje;Hombres;2013T4;12,1
De 20 a 24 años;Porcentaje;Hombres;2013T3;12,2
De 20 a 24 años;Porcentaje;Hombres;2013T2;12,6
De 20 a 24 años;Porcentaje;Hombres;2013T1;12,5
De 20 a 24 años;Porcentaje;Hombres;2012T4;12,5
De 20 a 24 años;Porcentaje;Hombres;2012T3;12,6
De 20 a 24 años;Porcentaje;Hombres;2012T2;12,4
De 20 a 24 años;Porcentaje;Hombres;2012T1;12,8
De 20 a 24 años;Porcentaje;Hombres;2011T4;13,0
De 20 a 24 años;Porcentaje;Hombres;2011T3;13,5
De 20 a 24 años;Porcentaje;Hombres;2011T2;14,0
De 20 a 24 años;Porcentaje;Hombres;2011T1;13,7
De 20 a 24 años;Porcentaje;Hombres;2010T4;13,6
De 20 a 24 años;Porcentaje;Hombres;2010T3;13,4
De 20 a 24 años;Porcentaje;Hombres;2010T2;13,6
De 20 a 24 años;Porcentaje;Hombres;2010T1;13,4
De 20 a 24 años;Porcentaje;Mujeres;2025T3;11,7
De 20 a 24 años;Porcentaje;Mujeres;2025T2;12,0
De 20 a 24 años;Porcentaje;Mujeres;2025T1;10,9
De 20 a 24 años;Porcentaje;Mujeres;2024T4;10,8
De 20 a 24 años;Porcentaje;Mujeres;2024T3;12,4
De 20 a 24 años;Porcentaje;Mujeres;2024T2;9,8
De 20 a 24 años;Porcentaje;Mujeres;2024T1;9,6
De 20 a 24 años;Porcentaje;Mujeres;2023T4;10,3
De 20 a 24 años;Porcentaje;Mujeres;2023T3;10,6
De 20 a 24 años;Porcentaje;Mujeres;2023T2;10,9
De 20 a 24 años;Porcentaje;Mujeres;2023T1;10,1
De 20 a 24 años;Porcentaje;Mujeres;2022T4;10,3
De 20 a 24 años;Porcentaje;Mujeres;2022T3;11,7
De 20 a 24 años;Porcentaje;Mujeres;2022T2;10,4
De 20 a 24 años;Porcentaje;Mujeres;2022T1;8,8
De 20 a 24 años;Porcentaje;Mujeres;2021T4;9,5
De 20 a 24 años;Porcentaje;Mujeres;2021T3;10,2
De 20 a 24 años;Porcentaje;Mujeres;2021T2;11,4
De 20 a 24 años;Porcentaje;Mujeres;2021T1;10,5
De 20 a 24 años;Porcentaje;Mujeres;2020T4;10,4
De 20 a 24 años;Porcentaje;Mujeres;2020T3;11,6
De 20 a 24 años;Porcentaje;Mujeres;2020T2;11,0
De 20 a 24 años;Porcentaje;Mujeres;2020T1;9,9
De 20 a 24 años;Porcentaje;Mujeres;2019T4;10,0
De 20 a 24 años;Porcentaje;Mujeres;2019T3;11,3
De 20 a 24 años;Porcentaje;Mujeres;2019T2;10,9
De 20 a 24 años;Porcentaje;Mujeres;2019T1;10,6
De 20 a 24 años;Porcentaje;Mujeres;2018T4;10,3
De 20 a 24 años;Porcentaje;Mujeres;2018T3;10,0
De 20 a 24 años;Porcentaje;Mujeres;2018T2;9,4
De 20 a 24 años;Porcentaje;Mujeres;2018T1;8,4
De 20 a 24 años;Porcentaje;Mujeres;2017T4;10,2
De 20 a 24 años;Porcentaje;Mujeres;2017T3;10,0
De 20 a 24 años;Porcentaje;Mujeres;2017T2;10,0
De 20 a 24 años;Porcentaje;Mujeres;2017T1;9,6
De 20 a 24 años;Porcentaje;Mujeres;2016T4;10,2
De 20 a 24 años;Porcentaje;Mujeres;2016T3;10,9
De 20 a 24 años;Porcentaje;Mujeres;2016T2;11,2
De 20 a 24 años;Porcentaje;Mujeres;2016T1;10,6
De 20 a 24 años;Porcentaje;Mujeres;2015T4;10,6
De 20 a 24 años;Porcentaje;Mujeres;2015T3;11,5
De 20 a 24 años;Porcentaje;Mujeres;2015T2;10,7
De 20 a 24 años;Porcentaje;Mujeres;2015T1;10,4
De 20 a 24 años;Porcentaje;Mujeres;2014T4;11,5
De 20 a 24 años;Porcentaje;Mujeres;2014T3;11,9
De 20 a 24 años;Porcentaje;Mujeres;2014T2;11,5
De 20 a 24 años;Porcentaje;Mujeres;2014T1;11,8
De 20 a 24 años;Porcentaje;Mujeres;2013T4;11,7
De 20 a 24 años;Porcentaje;Mujeres;2013T3;12,3
De 20 a 24 años;Porcentaje;Mujeres;2013T2;12,1
De 20 a 24 años;Porcentaje;Mujeres;2013T1;12,1
De 20 a 24 años;Porcentaje;Mujeres;2012T4;12,4
De 20 a 24 años;Porcentaje;Mujeres;2012T3;12,8
De 20 a 24 años;Porcentaje;Mujeres;2012T2;13,2
De 20 a 24 años;Porcentaje;Mujeres;2012T1;12,4
De 20 a 24 años;Porcentaje;Mujeres;2011T4;12,7
De 20 a 24 años;Porcentaje;Mujeres;2011T3;13,9
De 20 a 24 años;Porcentaje;Mujeres;2011T2;13,7
De 20 a 24 años;Porcentaje;Mujeres;2011T1;13,0
De 20 a 24 años;Porcentaje;Mujeres;2010T4;13,0
De 20 a 24 años;Porcentaje;Mujeres;2010T3;13,7
De 20 a 24 años;Porcentaje;Mujeres;2010T2;13,0
De 20 a 24 años;Porcentaje;Mujeres;2010T1;12,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2025T3;308,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2025T2;308,7
De 25 a 29 años;Valor absoluto;Ambos sexos;2025T1;339,9
De 25 a 29 años;Valor absoluto;Ambos sexos;2024T4;324,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2024T3;346,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2024T2;315,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2024T1;353,9
De 25 a 29 años;Valor absoluto;Ambos sexos;2023T4;348,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2023T3;339,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2023T2;313,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2023T1;371,3
De 25 a 29 años;Valor absoluto;Ambos sexos;2022T4;365,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2022T3;362,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2022T2;304,9
De 25 a 29 años;Valor absoluto;Ambos sexos;2022T1;389,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2021T4;400,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2021T3;449,7
De 25 a 29 años;Valor absoluto;Ambos sexos;2021T2;473,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2021T1;511,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2020T4;501,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2020T3;514,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2020T2;467,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2020T1;412,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2019T4;403,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2019T3;395,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2019T2;389,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2019T1;406,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2018T4;399,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2018T3;405,7
De 25 a 29 años;Valor absoluto;Ambos sexos;2018T2;433,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2018T1;472,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2017T4;456,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2017T3;476,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2017T2;485,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2017T1;520,9
De 25 a 29 años;Valor absoluto;Ambos sexos;2016T4;510,7
De 25 a 29 años;Valor absoluto;Ambos sexos;2016T3;515,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2016T2;556,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2016T1;609,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2015T4;599,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2015T3;611,3
De 25 a 29 años;Valor absoluto;Ambos sexos;2015T2;628,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2015T1;678,2
De 25 a 29 años;Valor absoluto;Ambos sexos;2014T4;681,9
De 25 a 29 años;Valor absoluto;Ambos sexos;2014T3;665,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2014T2;700,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2014T1;768,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2013T4;773,3
De 25 a 29 años;Valor absoluto;Ambos sexos;2013T3;774,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2013T2;824,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2013T1;874,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2012T4;854,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2012T3;812,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2012T2;792,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2012T1;798,1
De 25 a 29 años;Valor absoluto;Ambos sexos;2011T4;727,8
De 25 a 29 años;Valor absoluto;Ambos sexos;2011T3;697,0
De 25 a 29 años;Valor absoluto;Ambos sexos;2011T2;697,6
De 25 a 29 años;Valor absoluto;Ambos sexos;2011T1;731,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2010T4;712,5
De 25 a 29 años;Valor absoluto;Ambos sexos;2010T3;697,4
De 25 a 29 años;Valor absoluto;Ambos sexos;2010T2;690,7
De 25 a 29 años;Valor absoluto;Ambos sexos;2010T1;733,6
De 25 a 29 años;Valor absoluto;Hombres;2025T3;149,2
De 25 a 29 años;Valor absoluto;Hombres;2025T2;167,6
De 25 a 29 años;Valor absoluto;Hombres;2025T1;175,7
De 25 a 29 años;Valor absoluto;Hombres;2024T4;164,9
De 25 a 29 años;Valor absoluto;Hombres;2024T3;179,1
De 25 a 29 años;Valor absoluto;Hombres;2024T2;156,2
De 25 a 29 años;Valor absoluto;Hombres;2024T1;181,9
De 25 a 29 años;Valor absoluto;Hombres;2023T4;169,5
De 25 a 29 años;Valor absoluto;Hombres;2023T3;156,7
De 25 a 29 años;Valor absoluto;Hombres;2023T2;171,5
De 25 a 29 años;Valor absoluto;Hombres;2023T1;191,2
De 25 a 29 años;Valor absoluto;Hombres;2022T4;191,1
De 25 a 29 años;Valor absoluto;Hombres;2022T3;163,5
De 25 a 29 años;Valor absoluto;Hombres;2022T2;153,5
De 25 a 29 años;Valor absoluto;Hombres;2022T1;204,6
De 25 a 29 años;Valor absoluto;Hombres;2021T4;216,0
De 25 a 29 años;Valor absoluto;Hombres;2021T3;237,6
De 25 a 29 años;Valor absoluto;Hombres;2021T2;237,6
De 25 a 29 años;Valor absoluto;Hombres;2021T1;249,2
De 25 a 29 años;Valor absoluto;Hombres;2020T4;250,6
De 25 a 29 años;Valor absoluto;Hombres;2020T3;250,0
De 25 a 29 años;Valor absoluto;Hombres;2020T2;235,7
De 25 a 29 años;Valor absoluto;Hombres;2020T1;203,3
De 25 a 29 años;Valor absoluto;Hombres;2019T4;208,9
De 25 a 29 años;Valor absoluto;Hombres;2019T3;201,0
De 25 a 29 años;Valor absoluto;Hombres;2019T2;206,4
De 25 a 29 años;Valor absoluto;Hombres;2019T1;208,8
De 25 a 29 años;Valor absoluto;Hombres;2018T4;203,5
De 25 a 29 años;Valor absoluto;Hombres;2018T3;197,0
De 25 a 29 años;Valor absoluto;Hombres;2018T2;210,0
De 25 a 29 años;Valor absoluto;Hombres;2018T1;231,7
De 25 a 29 años;Valor absoluto;Hombres;2017T4;225,3
De 25 a 29 años;Valor absoluto;Hombres;2017T3;227,8
De 25 a 29 años;Valor absoluto;Hombres;2017T2;236,7
De 25 a 29 años;Valor absoluto;Hombres;2017T1;258,0
De 25 a 29 años;Valor absoluto;Hombres;2016T4;251,5
De 25 a 29 años;Valor absoluto;Hombres;2016T3;249,7
De 25 a 29 años;Valor absoluto;Hombres;2016T2;279,0
De 25 a 29 años;Valor absoluto;Hombres;2016T1;304,5
De 25 a 29 años;Valor absoluto;Hombres;2015T4;320,6
De 25 a 29 años;Valor absoluto;Hombres;2015T3;314,6
De 25 a 29 años;Valor absoluto;Hombres;2015T2;326,7
De 25 a 29 años;Valor absoluto;Hombres;2015T1;347,8
De 25 a 29 años;Valor absoluto;Hombres;2014T4;357,2
De 25 a 29 años;Valor absoluto;Hombres;2014T3;339,7
De 25 a 29 años;Valor absoluto;Hombres;2014T2;361,7
De 25 a 29 años;Valor absoluto;Hombres;2014T1;399,5
De 25 a 29 años;Valor absoluto;Hombres;2013T4;413,5
De 25 a 29 años;Valor absoluto;Hombres;2013T3;415,9
De 25 a 29 años;Valor absoluto;Hombres;2013T2;437,9
De 25 a 29 años;Valor absoluto;Hombres;2013T1;460,7
De 25 a 29 años;Valor absoluto;Hombres;2012T4;453,9
De 25 a 29 años;Valor absoluto;Hombres;2012T3;447,3
De 25 a 29 años;Valor absoluto;Hombres;2012T2;450,2
De 25 a 29 años;Valor absoluto;Hombres;2012T1;441,3
De 25 a 29 años;Valor absoluto;Hombres;2011T4;391,1
De 25 a 29 años;Valor absoluto;Hombres;2011T3;376,9
De 25 a 29 años;Valor absoluto;Hombres;2011T2;374,1
De 25 a 29 años;Valor absoluto;Hombres;2011T1;393,0
De 25 a 29 años;Valor absoluto;Hombres;2010T4;382,9
De 25 a 29 años;Valor absoluto;Hombres;2010T3;372,5
De 25 a 29 años;Valor absoluto;Hombres;2010T2;381,0
De 25 a 29 años;Valor absoluto;Hombres;2010T1;412,0
De 25 a 29 años;Valor absoluto;Mujeres;2025T3;159,4
De 25 a 29 años;Valor absoluto;Mujeres;2025T2;141,1
De 25 a 29 años;Valor absoluto;Mujeres;2025T1;164,2
De 25 a 29 años;Valor absoluto;Mujeres;2024T4;159,4
De 25 a 29 años;Valor absoluto;Mujeres;2024T3;166,9
De 25 a 29 años;Valor absoluto;Mujeres;2024T2;159,4
De 25 a 29 años;Valor absoluto;Mujeres;2024T1;172,0
De 25 a 29 años;Valor absoluto;Mujeres;2023T4;178,6
De 25 a 29 años;Valor absoluto;Mujeres;2023T3;182,5
De 25 a 29 años;Valor absoluto;Mujeres;2023T2;142,1
De 25 a 29 años;Valor absoluto;Mujeres;2023T1;180,1
De 25 a 29 años;Valor absoluto;Mujeres;2022T4;174,5
De 25 a 29 años;Valor absoluto;Mujeres;2022T3;198,8
De 25 a 29 años;Valor absoluto;Mujeres;2022T2;151,4
De 25 a 29 años;Valor absoluto;Mujeres;2022T1;185,2
De 25 a 29 años;Valor absoluto;Mujeres;2021T4;184,4
De 25 a 29 años;Valor absoluto;Mujeres;2021T3;212,0
De 25 a 29 años;Valor absoluto;Mujeres;2021T2;235,5
De 25 a 29 años;Valor absoluto;Mujeres;2021T1;262,2
De 25 a 29 años;Valor absoluto;Mujeres;2020T4;250,9
De 25 a 29 años;Valor absoluto;Mujeres;2020T3;264,6
De 25 a 29 años;Valor absoluto;Mujeres;2020T2;231,4
De 25 a 29 años;Valor absoluto;Mujeres;2020T1;208,8
De 25 a 29 años;Valor absoluto;Mujeres;2019T4;194,9
De 25 a 29 años;Valor absoluto;Mujeres;2019T3;194,1
De 25 a 29 años;Valor absoluto;Mujeres;2019T2;183,2
De 25 a 29 años;Valor absoluto;Mujeres;2019T1;197,3
De 25 a 29 años;Valor absoluto;Mujeres;2018T4;196,1
De 25 a 29 años;Valor absoluto;Mujeres;2018T3;208,8
De 25 a 29 años;Valor absoluto;Mujeres;2018T2;223,1
De 25 a 29 años;Valor absoluto;Mujeres;2018T1;240,8
De 25 a 29 años;Valor absoluto;Mujeres;2017T4;230,9
De 25 a 29 años;Valor absoluto;Mujeres;2017T3;248,8
De 25 a 29 años;Valor absoluto;Mujeres;2017T2;249,2
De 25 a 29 años;Valor absoluto;Mujeres;2017T1;262,9
De 25 a 29 años;Valor absoluto;Mujeres;2016T4;259,2
De 25 a 29 años;Valor absoluto;Mujeres;2016T3;265,3
De 25 a 29 años;Valor absoluto;Mujeres;2016T2;277,8
De 25 a 29 años;Valor absoluto;Mujeres;2016T1;304,6
De 25 a 29 años;Valor absoluto;Mujeres;2015T4;278,6
De 25 a 29 años;Valor absoluto;Mujeres;2015T3;296,7
De 25 a 29 años;Valor absoluto;Mujeres;2015T2;301,5
De 25 a 29 años;Valor absoluto;Mujeres;2015T1;330,4
De 25 a 29 años;Valor absoluto;Mujeres;2014T4;324,6
De 25 a 29 años;Valor absoluto;Mujeres;2014T3;325,6
De 25 a 29 años;Valor absoluto;Mujeres;2014T2;338,5
De 25 a 29 años;Valor absoluto;Mujeres;2014T1;368,5
De 25 a 29 años;Valor absoluto;Mujeres;2013T4;359,8
De 25 a 29 años;Valor absoluto;Mujeres;2013T3;358,1
De 25 a 29 años;Valor absoluto;Mujeres;2013T2;386,7
De 25 a 29 años;Valor absoluto;Mujeres;2013T1;413,8
De 25 a 29 años;Valor absoluto;Mujeres;2012T4;400,1
De 25 a 29 años;Valor absoluto;Mujeres;2012T3;364,6
De 25 a 29 años;Valor absoluto;Mujeres;2012T2;342,3
De 25 a 29 años;Valor absoluto;Mujeres;2012T1;356,8
De 25 a 29 años;Valor absoluto;Mujeres;2011T4;336,7
De 25 a 29 años;Valor absoluto;Mujeres;2011T3;320,1
De 25 a 29 años;Valor absoluto;Mujeres;2011T2;323,5
De 25 a 29 años;Valor absoluto;Mujeres;2011T1;338,4
De 25 a 29 años;Valor absoluto;Mujeres;2010T4;329,7
De 25 a 29 años;Valor absoluto;Mujeres;2010T3;324,9
De 25 a 29 años;Valor absoluto;Mujeres;2010T2;309,8
De 25 a 29 años;Valor absoluto;Mujeres;2010T1;321,6
De 25 a 29 años;Porcentaje;Ambos sexos;2025T3;11,8
De 25 a 29 años;Porcentaje;Ambos sexos;2025T2;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2025T1;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2024T4;12,5
De 25 a 29 años;Porcentaje;Ambos sexos;2024T3;12,6
De 25 a 29 años;Porcentaje;Ambos sexos;2024T2;11,5
De 25 a 29 años;Porcentaje;Ambos sexos;2024T1;11,9
De 25 a 29 años;Porcentaje;Ambos sexos;2023T4;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2023T3;11,7
De 25 a 29 años;Porcentaje;Ambos sexos;2023T2;11,2
De 25 a 29 años;Porcentaje;Ambos sexos;2023T1;11,7
De 25 a 29 años;Porcentaje;Ambos sexos;2022T4;11,9
De 25 a 29 años;Porcentaje;Ambos sexos;2022T3;12,0
De 25 a 29 años;Porcentaje;Ambos sexos;2022T2;10,2
De 25 a 29 años;Porcentaje;Ambos sexos;2022T1;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2021T4;12,7
De 25 a 29 años;Porcentaje;Ambos sexos;2021T3;13,0
De 25 a 29 años;Porcentaje;Ambos sexos;2021T2;13,2
De 25 a 29 años;Porcentaje;Ambos sexos;2021T1;13,8
De 25 a 29 años;Porcentaje;Ambos sexos;2020T4;13,5
De 25 a 29 años;Porcentaje;Ambos sexos;2020T3;13,8
De 25 a 29 años;Porcentaje;Ambos sexos;2020T2;13,9
De 25 a 29 años;Porcentaje;Ambos sexos;2020T1;12,4
De 25 a 29 años;Porcentaje;Ambos sexos;2019T4;12,7
De 25 a 29 años;Porcentaje;Ambos sexos;2019T3;12,3
De 25 a 29 años;Porcentaje;Ambos sexos;2019T2;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2019T1;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2018T4;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2018T3;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2018T2;12,4
De 25 a 29 años;Porcentaje;Ambos sexos;2018T1;12,4
De 25 a 29 años;Porcentaje;Ambos sexos;2017T4;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2017T3;12,8
De 25 a 29 años;Porcentaje;Ambos sexos;2017T2;12,4
De 25 a 29 años;Porcentaje;Ambos sexos;2017T1;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2016T4;12,1
De 25 a 29 años;Porcentaje;Ambos sexos;2016T3;11,9
De 25 a 29 años;Porcentaje;Ambos sexos;2016T2;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2016T1;12,7
De 25 a 29 años;Porcentaje;Ambos sexos;2015T4;12,5
De 25 a 29 años;Porcentaje;Ambos sexos;2015T3;12,6
De 25 a 29 años;Porcentaje;Ambos sexos;2015T2;12,2
De 25 a 29 años;Porcentaje;Ambos sexos;2015T1;12,5
De 25 a 29 años;Porcentaje;Ambos sexos;2014T4;12,5
De 25 a 29 años;Porcentaje;Ambos sexos;2014T3;12,3
De 25 a 29 años;Porcentaje;Ambos sexos;2014T2;12,5
De 25 a 29 años;Porcentaje;Ambos sexos;2014T1;12,9
De 25 a 29 años;Porcentaje;Ambos sexos;2013T4;13,0
De 25 a 29 años;Porcentaje;Ambos sexos;2013T3;13,0
De 25 a 29 años;Porcentaje;Ambos sexos;2013T2;13,6
De 25 a 29 años;Porcentaje;Ambos sexos;2013T1;13,9
De 25 a 29 años;Porcentaje;Ambos sexos;2012T4;14,2
De 25 a 29 años;Porcentaje;Ambos sexos;2012T3;13,9
De 25 a 29 años;Porcentaje;Ambos sexos;2012T2;13,8
De 25 a 29 años;Porcentaje;Ambos sexos;2012T1;14,1
De 25 a 29 años;Porcentaje;Ambos sexos;2011T4;13,8
De 25 a 29 años;Porcentaje;Ambos sexos;2011T3;13,9
De 25 a 29 años;Porcentaje;Ambos sexos;2011T2;14,4
De 25 a 29 años;Porcentaje;Ambos sexos;2011T1;14,9
De 25 a 29 años;Porcentaje;Ambos sexos;2010T4;15,2
De 25 a 29 años;Porcentaje;Ambos sexos;2010T3;15,2
De 25 a 29 años;Porcentaje;Ambos sexos;2010T2;14,8
De 25 a 29 años;Porcentaje;Ambos sexos;2010T1;15,9
De 25 a 29 años;Porcentaje;Hombres;2025T3;12,6
De 25 a 29 años;Porcentaje;Hombres;2025T2;13,9
De 25 a 29 años;Porcentaje;Hombres;2025T1;13,4
De 25 a 29 años;Porcentaje;Hombres;2024T4;13,4
De 25 a 29 años;Porcentaje;Hombres;2024T3;13,7
De 25 a 29 años;Porcentaje;Hombres;2024T2;12,0
De 25 a 29 años;Porcentaje;Hombres;2024T1;12,9
De 25 a 29 años;Porcentaje;Hombres;2023T4;12,7
De 25 a 29 años;Porcentaje;Hombres;2023T3;11,8
De 25 a 29 años;Porcentaje;Hombres;2023T2;13,1
De 25 a 29 años;Porcentaje;Hombres;2023T1;13,0
De 25 a 29 años;Porcentaje;Hombres;2022T4;13,3
De 25 a 29 años;Porcentaje;Hombres;2022T3;11,9
De 25 a 29 años;Porcentaje;Hombres;2022T2;11,0
De 25 a 29 años;Porcentaje;Hombres;2022T1;13,5
De 25 a 29 años;Porcentaje;Hombres;2021T4;14,6
De 25 a 29 años;Porcentaje;Hombres;2021T3;14,4
De 25 a 29 años;Porcentaje;Hombres;2021T2;14,2
De 25 a 29 años;Porcentaje;Hombres;2021T1;14,4
De 25 a 29 años;Porcentaje;Hombres;2020T4;14,5
De 25 a 29 años;Porcentaje;Hombres;2020T3;14,2
De 25 a 29 años;Porcentaje;Hombres;2020T2;14,1
De 25 a 29 años;Porcentaje;Hombres;2020T1;13,0
De 25 a 29 años;Porcentaje;Hombres;2019T4;13,9
De 25 a 29 años;Porcentaje;Hombres;2019T3;13,4
De 25 a 29 años;Porcentaje;Hombres;2019T2;13,5
De 25 a 29 años;Porcentaje;Hombres;2019T1;13,3
De 25 a 29 años;Porcentaje;Hombres;2018T4;12,9
De 25 a 29 años;Porcentaje;Hombres;2018T3;12,2
De 25 a 29 años;Porcentaje;Hombres;2018T2;12,5
De 25 a 29 años;Porcentaje;Hombres;2018T1;12,6
De 25 a 29 años;Porcentaje;Hombres;2017T4;12,4
De 25 a 29 años;Porcentaje;Hombres;2017T3;12,6
De 25 a 29 años;Porcentaje;Hombres;2017T2;12,4
De 25 a 29 años;Porcentaje;Hombres;2017T1;12,3
De 25 a 29 años;Porcentaje;Hombres;2016T4;12,0
De 25 a 29 años;Porcentaje;Hombres;2016T3;11,7
De 25 a 29 años;Porcentaje;Hombres;2016T2;12,4
De 25 a 29 años;Porcentaje;Hombres;2016T1;12,8
De 25 a 29 años;Porcentaje;Hombres;2015T4;13,4
De 25 a 29 años;Porcentaje;Hombres;2015T3;12,8
De 25 a 29 años;Porcentaje;Hombres;2015T2;12,6
De 25 a 29 años;Porcentaje;Hombres;2015T1;12,4
De 25 a 29 años;Porcentaje;Hombres;2014T4;12,7
De 25 a 29 años;Porcentaje;Hombres;2014T3;12,2
De 25 a 29 años;Porcentaje;Hombres;2014T2;12,3
De 25 a 29 años;Porcentaje;Hombres;2014T1;12,8
De 25 a 29 años;Porcentaje;Hombres;2013T4;13,3
De 25 a 29 años;Porcentaje;Hombres;2013T3;13,2
De 25 a 29 años;Porcentaje;Hombres;2013T2;13,7
De 25 a 29 años;Porcentaje;Hombres;2013T1;13,7
De 25 a 29 años;Porcentaje;Hombres;2012T4;14,1
De 25 a 29 años;Porcentaje;Hombres;2012T3;14,3
De 25 a 29 años;Porcentaje;Hombres;2012T2;14,4
De 25 a 29 años;Porcentaje;Hombres;2012T1;14,5
De 25 a 29 años;Porcentaje;Hombres;2011T4;13,7
De 25 a 29 años;Porcentaje;Hombres;2011T3;14,0
De 25 a 29 años;Porcentaje;Hombres;2011T2;14,3
De 25 a 29 años;Porcentaje;Hombres;2011T1;14,9
De 25 a 29 años;Porcentaje;Hombres;2010T4;15,0
De 25 a 29 años;Porcentaje;Hombres;2010T3;15,0
